prompt,category,subcategory,style,noise,params,top_category
Was the first contact from the agent made within 15 hours?,SYMBOLIC_TIME,time_moderate,question,none,"{""threshold"": 15, ""unit"": ""hours""}",SYMBOLIC_TIME
Identify if source was phone.,SYMBOLIC_METADATA,meta_channel,instruction,none,"{""subtype"": ""channel"", ""value"": ""phone""}",SYMBOLIC_METADATA
was the twitter response both timely and genuinely helpful?,HYBRID,hybrid,question,heavy,,HYBRID
Examine if the reply count went above 14.,SYMBOLIC_COUNT,count_explicit,instruction,none,"{""threshold"": 14}",SYMBOLIC_COUNT
Did they get back to the customer within 1 minutes?,SYMBOLIC_TIME,time_moderate,question,none,"{""threshold"": 1, ""unit"": ""minutes""}",SYMBOLIC_TIME
Flag 'vip' tickets where urgency was not matched by quality.,HYBRID,hybrid,instruction,none,,HYBRID
Track conversations exceeding the 3 message mark.,SYMBOLIC_COUNT,count_moderate,instruction,light,"{""threshold"": 3}",SYMBOLIC_COUNT
Did the guest complete their stay without further issues at the property?,UNSUPPORTED,llm_generated,question,light,,UNSUPPORTED
Check if agent stayed considerate even when customer pushed back on the resolution.,SEMANTIC_TONE,llm_generated,instruction,none,,SEMANTIC
Did the agent beat the 19 min deadline?,SYMBOLIC_TIME,time_explicit,question,none,"{""threshold"": 19, ""unit"": ""min""}",SYMBOLIC_TIME
"Detect whether the agent’s initial message includes customer acknowledgment + agent identification, not jumping straight into steps.",SEMANTIC_GREETING,llm_generated,instruction,light,,SEMANTIC
Did agent end with “anything else I can help with?” or similar,SEMANTIC_CLOSING,llm_generated,question,light,,SEMANTIC
Is this interaction likely to lead to a support ticket within week?,UNSUPPORTED,unsupported,question,none,,UNSUPPORTED
"When the customer requested a prepaid return label on email, judge whether the agent’s response felt fair and solution-oriented.",HYBRID,llm_generated,instruction,none,,HYBRID
Determine if this escalation interaction changes the customer's loyalty points.,UNSUPPORTED,unsupported,instruction,light,,UNSUPPORTED
Were 25 or more turns required to address this?,SYMBOLIC_COUNT,count_explicit,question,none,"{""threshold"": 25}",SYMBOLIC_COUNT
Detect whether agent explained escalation path for recurring defect in follow-up.,SEMANTIC_SOLUTION,llm_generated,instruction,none,,SEMANTIC
"If tagged 'sensitive' and over 30 turns, was urgency maintained?",HYBRID,hybrid,question,none,,HYBRID
Did agent say anything that shows they noticed customer frustration?,SEMANTIC_EMPATHY,llm_generated,question,heavy,,SEMANTIC
Is this a phone conversation?,SYMBOLIC_METADATA,meta_channel,question,light,"{""subtype"": ""channel"", ""value"": ""phone""}",SYMBOLIC_METADATA
Verify teh agent acknowleged impact (can’t log in) prior to escalation steps.,SEMANTIC_EMPATHY,llm_generated,instruction,medium,,SEMANTIC
"If the customer said they’re stressed, did the agent acknowledge it and then finalize the interaction with a recap and offer further assistance?",SEMANTIC_CLOSING,llm_generated,question,light,,SEMANTIC
"Determine whether the agent provided concrete next actions for the billing error right after greeting, following the apology, with no vague filler.",SEMANTIC_SOLUTION,llm_generated,instruction,light,,SEMANTIC
Determine whether agent used active listening cues during outage escalation.,SEMANTIC_EMPATHY,llm_generated,instruction,light,,SEMANTIC
Did more than 10 replies get sent by the agent,SYMBOLIC_COUNT,count_explicit,question,light,"{""threshold"": 10}",SYMBOLIC_COUNT
compare this agent's handling against the customer's trend in yhe app.,UNSUPPORTED,unsupported,instruction,heavy,,UNSUPPORTED
Did the customer churn (stop ordering) within 30 days following this case?,UNSUPPORTED,llm_generated,question,medium,,UNSUPPORTED
Determine if the exchange surpassed 5 messages.,SYMBOLIC_COUNT,count_explicit,instruction,none,"{""threshold"": 5}",SYMBOLIC_COUNT
"Did agent sound like they heard the problem, then explain next steps for replacement?",SEMANTIC_EMPATHY,llm_generated,question,none,,SEMANTIC
Did the agent begin by acknowledging the customer and identifying themselves?,SEMANTIC_GREETING,llm_generated,question,none,,SEMANTIC
"Check that after delivering the resolution, the agent asked “anything else I can help with” (or similar) and then ended appropriately.",SEMANTIC_CLOSING,llm_generated,instruction,none,,SEMANTIC
Was there any clear first-line acknowledgment of the customer before asking for info?,SEMANTIC_GREETING,llm_generated,question,none,,SEMANTIC
Estimate the probability that this customer will upgrade within 30 days.,UNSUPPORTED,unsupported,instruction,light,,UNSUPPORTED
Assess whatsapp-appropriate communication style.,HYBRID,hybrid,instruction,none,,HYBRID
Compare this agent's handling against the customer's log in CRM.,UNSUPPORTED,unsupported,instruction,light,,UNSUPPORTED
Verify 'vip' tickets received appropriate urgency.,HYBRID,hybrid,instruction,medium,,HYBRID
"Did agent act like it’s our problem to fix, not customer’s fault, when handling the breach notice?",SEMANTIC_COMPREHENSION,llm_generated,question,none,,SEMANTIC
Did the agent open appropriately and acknowledge the customer?,SEMANTIC_GREETING,llm_generated,question,none,,SEMANTIC
Inspect if the first reply came under 8 min.,SYMBOLIC_TIME,time_explicit,instruction,none,"{""threshold"": 8, ""unit"": ""min""}",SYMBOLIC_TIME
Detect conversations exceeding 19 exchanges.,SYMBOLIC_COUNT,count_explicit,instruction,light,"{""threshold"": 19}",SYMBOLIC_COUNT
"For chat conversations, was the opening appropriate for the channel?",HYBRID,hybrid,question,none,,HYBRID
Determine whether agent recognized inconvenience/frustration at the moment they delivered the reset link or code.,SEMANTIC_GREETING,llm_generated,instruction,none,,SEMANTIC
monitor for exchanges going beyond 2 messages.,SYMBOLIC_COUNT,count_moderate,instruction,medium,"{""threshold"": 2}",SYMBOLIC_COUNT
Check whether similar cases handled by other agents closed faster.,UNSUPPORTED,llm_generated,instruction,medium,,UNSUPPORTED
"For responses taking over 60 minutes, was there an apology??",HYBRID,hybrid,question,heavy,,HYBRID
Is the 'duplicate' tag present on this ticket?,SYMBOLIC_METADATA,meta_tag,question,none,"{""subtype"": ""tag"", ""value"": ""duplicate""}",SYMBOLIC_METADATA
"Check that agent identified themselves early, and acknowledged customer wants to cancel subscription.",SEMANTIC_GREETING,llm_generated,instruction,none,,SEMANTIC
Calculate the impact of this conversation on usage over 90 days.,UNSUPPORTED,unsupported,instruction,light,,UNSUPPORTED
Assess whether the 26 seconds threshold was met.,SYMBOLIC_TIME,time_explicit,instruction,none,"{""threshold"": 26, ""unit"": ""seconds""}",SYMBOLIC_TIME
"detect wether thr qgebt gavw a clear “whay to fo next” after troub;eshooting and refund eequest, qnd adked if anything else wqs needed.",SEMANTIC_CLOSING,llm_generated,instruction,heavy,,SEMANTIC
Did the cusotmer come back with the same usage issue within month...,UNSUPPORTED,unsupported,question,medium,,UNSUPPORTED
Did the agent acknowledge the delay’s impact on the customer?,SEMANTIC_EMPATHY,llm_generated,question,light,,SEMANTIC
"For tickets where first response time was under 2 minutes and the request is an upgrade, was the greeting still warm rather than rushed?",HYBRID,llm_generated,question,none,,HYBRID
Pinpoint interactions exceeding 50 back-and-forths.,SYMBOLIC_COUNT,count_moderate,instruction,none,"{""threshold"": 50}",SYMBOLIC_COUNT
Did the agent avoid blaming the customer while explaining next steps on the defect follow-up,SEMANTIC_TONE,llm_generated,instruction,heavy,,SEMANTIC
Verify there is a clear initial acknowledgement of the customer; no acknowledgment = fail (absolute).,SEMANTIC_GREETING,llm_generated,instruction,heavy,,SEMANTIC
"See whether the agent tied off the follow-up by summarizing next steps and checking for additional needs, rather than leaving the customer hanging.",SEMANTIC_CLOSING,llm_generated,instruction,light,,SEMANTIC
Was this submitted via SMS?,SYMBOLIC_METADATA,meta_channel,question,none,"{""subtype"": ""channel"", ""value"": ""SMS""}",SYMBOLIC_METADATA
Detect if 'escalated' label exists.,SYMBOLIC_METADATA,meta_tag,instruction,none,"{""subtype"": ""tag"", ""value"": ""escalated""}",SYMBOLIC_METADATA
"Verify the agent started the conversation by acknowledging the customer’s situation and apologizing for the billing error, without jumping straight into troubleshooting.",SEMANTIC_GREETING,llm_generated,instruction,light,,SEMANTIC
Estimate the probability that this customer will downgrade within next billing cycle.,UNSUPPORTED,unsupported,instruction,none,,UNSUPPORTED
Examine if the reply count went above 15.,SYMBOLIC_COUNT,count_explicit,instruction,light,"{""threshold"": 15}",SYMBOLIC_COUNT
"Detect if the agent validated the customer’s feelings about the delay, then completed the interaction in a courteous way.",SEMANTIC_CLOSING,llm_generated,instruction,none,,SEMANTIC
Determine if the agent remained patient and kept user informed while escalating.,SEMANTIC_SOLUTION,llm_generated,instruction,none,,SEMANTIC
Verify ticket has 'duplicate' status.,SYMBOLIC_METADATA,meta_tag,instruction,light,"{""subtype"": ""tag"", ""value"": ""duplicate""}",SYMBOLIC_METADATA
Check if the restaurant was previously reported for the same problem by this customer.,UNSUPPORTED,llm_generated,instruction,medium,,UNSUPPORTED
Did the agent show empathy for the lost password frustration when presenting the fix?,SEMANTIC_GREETING,llm_generated,question,none,,SEMANTIC
Pull the customer's credit score from Stripe before evaluating.,UNSUPPORTED,unsupported,instruction,light,,UNSUPPORTED
"Did the claimant have any special handling preferences (language, accessibility) noted in their profile?",UNSUPPORTED,llm_generated,question,none,,UNSUPPORTED
"When internal notes show multiple prior contacts, did the agent’s closing acknowledge the repeated disruption and offer a concrete follow-up?",HYBRID,llm_generated,question,none,,HYBRID
Does the ticket have the 'high-priority' label?,SYMBOLIC_METADATA,meta_tag,question,none,"{""subtype"": ""tag"", ""value"": ""high-priority""}",SYMBOLIC_METADATA
Did the agent finish the conversation in a professional manner?,SEMANTIC_CLOSING,llm_generated,question,none,,SEMANTIC
"Determine whether the conversation start includes acknowledgment + self identification; if missing, mark as not met (outage escalation context).",SEMANTIC_GREETING,llm_generated,instruction,none,,SEMANTIC
Did the conversation stay under 3 messages?,SYMBOLIC_COUNT,count_moderate,question,none,"{""threshold"": 3}",SYMBOLIC_COUNT
Confirm whether the agent’s resolution-delivery message included both acknowledgment of frustration and a brief statement of support before the steps.,SEMANTIC_GREETING,llm_generated,instruction,none,,SEMANTIC
Check if the customer met all deadlines and avoided losing dispute rights.,UNSUPPORTED,llm_generated,instruction,light,,UNSUPPORTED
Is this a repeat support ticket complaint from the same customer?,UNSUPPORTED,unsupported,question,none,,UNSUPPORTED
Determine whether agent completed a proper end-of-chat flow after greeting and shipping delay update.,SEMANTIC_CLOSING,llm_generated,instruction,none,,SEMANTIC
Did the agent apologize and own the problem when explaining the final steps?,SEMANTIC_TONE,llm_generated,question,light,,SEMANTIC
Check for any sharp or snippy phrasing while the agent was diagnosing the problem.,SEMANTIC_TONE,llm_generated,instruction,none,,SEMANTIC
Measure whether the first response took less than 20 min.,SYMBOLIC_TIME,time_explicit,instruction,light,"{""threshold"": 20, ""unit"": ""min""}",SYMBOLIC_TIME
Detect whether the agent’s messages felt overly stiff for a refund request in early stage.,SEMANTIC_TONE,llm_generated,instruction,light,,SEMANTIC
"did the agent provide a courteous finish even though it’s early-stage troubleshooting, including what happens next for the refund...",SEMANTIC_CLOSING,llm_generated,instruction,heavy,,SEMANTIC
Was the customer contacted back within 22 sec?,SYMBOLIC_TIME,time_explicit,question,none,"{""threshold"": 22, ""unit"": ""sec""}",SYMBOLIC_TIME
Highlight conversations running past 6 turns.,SYMBOLIC_COUNT,count_moderate,instruction,none,"{""threshold"": 6}",SYMBOLIC_COUNT
Evaluate acknowledgment of delay for waits over 15 minutes.,HYBRID,hybrid,instruction,none,,HYBRID
"Determine whether the agen concluded the follow-up with a recap of next steps for the defect case, including any required cusotmer actions, timeframe expectations, and a final check that the customer needs nothing else.",SEMANTIC_CLOSING,llm_generated,instruction,light,,SEMANTIC
Did the customer end up waiting over 27 hrs?,SYMBOLIC_TIME,time_moderate,question,none,"{""threshold"": 27, ""unit"": ""hrs""}",SYMBOLIC_TIME
"When response time was over 8 minutes after the customer mentioned being upset, check whether the agent addressed the emotion directly.",HYBRID,llm_generated,instruction,none,,HYBRID
Detect whether agent’s next steps reference the exact faulty part the customer mentioned.,SEMANTIC_COMPREHENSION,llm_generated,instruction,none,,SEMANTIC
Assess if the agent’s responses showed they actually read and understood every message.,SEMANTIC_TONE,llm_generated,instruction,none,,SEMANTIC
Filter for phone tickets.,SYMBOLIC_METADATA,meta_channel,instruction,none,"{""subtype"": ""channel"", ""value"": ""phone""}",SYMBOLIC_METADATA
Is the 'complaint' tag present on this ticket?,SYMBOLIC_METADATA,meta_tag,question,light,"{""subtype"": ""tag"", ""value"": ""complaint""}",SYMBOLIC_METADATA
Did the agent provide a clear final summary and confirm the customer had no more questions?,SEMANTIC_CLOSING,llm_generated,question,none,,SEMANTIC
Check agent’s final message: does it include next steps for the defective item and an offer of further assistance?,SEMANTIC_CLOSING,llm_generated,question,none,,SEMANTIC
"Did the agent offer specific choices based on the delay (e.g., wait vs reroute) after acknowledging feelings?",SEMANTIC_SOLUTION,llm_generated,question,none,,SEMANTIC
Detect whether agent gave real steps for billing error or canned lines.,SEMANTIC_SOLUTION,llm_generated,instruction,light,,SEMANTIC
Check if agent confirmed they heard the escalation request clearly.,SEMANTIC_EMPATHY,llm_generated,instruction,none,,SEMANTIC
Check if the customer’s payment method was successfully charged after the agent’s steps.,UNSUPPORTED,llm_generated,instruction,medium,,UNSUPPORTED
"Did agent ask relevant questions, then do something with the info?",SEMANTIC_SOLUTION,llm_generated,question,medium,,SEMANTIC
"If customer repeated themselves, did agent restate the issue to show it landed?",SEMANTIC_EMPATHY,llm_generated,question,none,,SEMANTIC
Did the agent give concrete next steps for the defective product?,SEMANTIC_SOLUTION,llm_generated,question,none,,SEMANTIC
Assess whether the customer is likely to leave negative feedback after this exchange.,UNSUPPORTED,unsupported,instruction,none,,UNSUPPORTED
Did the agent start the follow-up by acknowledging the defective product issue?,SEMANTIC_GREETING,llm_generated,question,light,,SEMANTIC
Check if tagged as 'urgent'.,SYMBOLIC_METADATA,meta_tag,instruction,light,"{""subtype"": ""tag"", ""value"": ""urgent""}",SYMBOLIC_METADATA
"When internal notes are present, did the agent end with a courteous sign-off and a concrete follow-up channel?",HYBRID,llm_generated,question,medium,,HYBRID
"if tagged 'legal' and over 3 turns, was urgency maintained",HYBRID,hybrid,question,medium,,HYBRID
check whether agent did a proper conversation finish after empathizing.,SEMANTIC_CLOSING,llm_generated,instruction,medium,,SEMANTIC
Did the agent open with apology and match what customer said about the billing error?,SEMANTIC_COMPREHENSION,llm_generated,question,none,,SEMANTIC
Check if the reply came within 22 sec.,SYMBOLIC_TIME,time_explicit,instruction,none,"{""threshold"": 22, ""unit"": ""sec""}",SYMBOLIC_TIME
"If the customer uses strong language and the thread has 8+ turns, did the agent keep a respectful, non-confrontational tone?",HYBRID,llm_generated,question,none,,HYBRID
Evaluate based on the customer's past usage interactions across 5 tickets...,UNSUPPORTED,unsupported,instruction,light,,UNSUPPORTED
Is this customer's credit score available from social media?,UNSUPPORTED,unsupported,question,light,,UNSUPPORTED
"When resolution time was under 10 minutes, check whether the agent comprehended the key request rather than making assumptions about the upgrade.",HYBRID,llm_generated,instruction,none,,HYBRID
Confirm 'legal' is present.,SYMBOLIC_METADATA,meta_tag,instruction,none,"{""subtype"": ""tag"", ""value"": ""legal""}",SYMBOLIC_METADATA
Did agent start by summarizing customer’s shipping delay before asking questions?,SEMANTIC_EMPATHY,llm_generated,question,none,,SEMANTIC
Assess based on the customer's purchase records in external database.,UNSUPPORTED,unsupported,instruction,light,,UNSUPPORTED
"If customer asked next steps after breach notice, did agent respond to that exact ask?",SEMANTIC_COMPREHENSION,llm_generated,question,none,,SEMANTIC
Check if the agent’s handling time was above team average last month.,UNSUPPORTED,llm_generated,instruction,none,,UNSUPPORTED
Check if channel is SMS.,SYMBOLIC_METADATA,meta_channel,instruction,none,"{""subtype"": ""channel"", ""value"": ""SMS""}",SYMBOLIC_METADATA
Did the guest leave a public review mentioning this support experience afterward?,UNSUPPORTED,llm_generated,question,light,,UNSUPPORTED
Assess whether 9 messages was sufficient.,SYMBOLIC_COUNT,count_moderate,instruction,none,"{""threshold"": 9}",SYMBOLIC_COUNT
"Was the customer acknowledged right away, or did agent just push alternatives to cancellation?",SEMANTIC_GREETING,llm_generated,question,none,,SEMANTIC
Was there a follow-up refund complaint after this ticket was closed?,UNSUPPORTED,unsupported,question,none,,UNSUPPORTED
Check if the agent personalized the last message (name/order) and offered further assistance after troubleshooting.,SEMANTIC_CLOSING,llm_generated,instruction,heavy,,SEMANTIC
Is 'follow-up' applied to this ticket?,SYMBOLIC_METADATA,meta_tag,question,light,"{""subtype"": ""tag"", ""value"": ""follow-up""}",SYMBOLIC_METADATA
"If the defect caused safety concerns, did the agent’s follow-up language reflect urgency while still explaining next steps?",SEMANTIC_TONE,llm_generated,question,light,,SEMANTIC
Log responses that exceeded the 11 sec mark.,SYMBOLIC_TIME,time_moderate,instruction,none,"{""threshold"": 11, ""unit"": ""sec""}",SYMBOLIC_TIME
"Check if agent ended the convo properly: confirm fix, offer more help, then finish.",SEMANTIC_CLOSING,llm_generated,instruction,heavy,,SEMANTIC
"If the customer confirmed they can log in again, did the agent finish appropriately and offer further assistance?",SEMANTIC_CLOSING,llm_generated,question,none,,SEMANTIC
Identify threads where 50 exchanges were not enough.,SYMBOLIC_COUNT,count_moderate,instruction,medium,"{""threshold"": 50}",SYMBOLIC_COUNT
"Detect whether, in this follow-up, the agent explained the next steps (shipping, photos, timeline) and then ended in a polite, appropriate manner.",SEMANTIC_CLOSING,llm_generated,instruction,none,,SEMANTIC
"Detect whether agent used any dismissive phrasing when closing out the lost password case, even after saying they understand it's frustrating.",SEMANTIC_TONE,llm_generated,instruction,heavy,,SEMANTIC
Was the initial response to the customer sent within 29 min?,SYMBOLIC_TIME,time_moderate,question,medium,"{""threshold"": 29, ""unit"": ""min""}",SYMBOLIC_TIME
Did the agent skip the intro and go right into alternatives? Flag if yes.,SEMANTIC_GREETING,llm_generated,question,none,,SEMANTIC
Detect whether the agent signaled the conversation was complete and offered more help.,SEMANTIC_CLOSING,llm_generated,instruction,none,,SEMANTIC
"If refund is requested, validate agent summarizes the situation accurately before proposing any troubleshooting.",SEMANTIC_COMPREHENSION,llm_generated,instruction,medium,,SEMANTIC
Evaluate acknowledgment of delay for waits over 5 minutes.,HYBRID,hybrid,instruction,light,,HYBRID
Is this a web form conversation?,SYMBOLIC_METADATA,meta_channel,question,heavy,"{""subtype"": ""channel"", ""value"": ""web form""}",SYMBOLIC_METADATA
"Did agent acknowledge the customer’s frustration, and then deliver the correct resolution path for password recovery??",SEMANTIC_COMPREHENSION,llm_generated,question,heavy,,SEMANTIC
"On phone, did the agent follow the expected etiquette?",HYBRID,hybrid,question,none,,HYBRID
Predict request a callback likelihood based on this purchase interaction.,UNSUPPORTED,unsupported,instruction,none,,UNSUPPORTED
"Was the final part of the conversation appropriate, with a check for additional needs?",SEMANTIC_CLOSING,llm_generated,question,heavy,,SEMANTIC
"For return tickets where resolution time was between 24 and 48 hours, judge whether the agent correctly understood the product defect description versus buyer’s remorse.",HYBRID,llm_generated,instruction,none,,HYBRID
Did the customer’s satisfaction score reflect a positive outcome for this case?,UNSUPPORTED,llm_generated,question,light,,UNSUPPORTED
What does partner portal show for this customer's credit score?,UNSUPPORTED,unsupported,question,light,,UNSUPPORTED
"Did agent make it feel like they were listening, not just pushing steps?",SEMANTIC_TONE,llm_generated,question,none,,SEMANTIC
"Check, in absolute terms, whether the agent’s actions resulted in regained access or a properly initiated escalation, rather than looping on generic statements or sending the customer to another channel without doing anything.",SEMANTIC_SOLUTION,llm_generated,instruction,none,,SEMANTIC
Confirm if agent asked “does that help?” and ended conversation cleanly.,SEMANTIC_CLOSING,llm_generated,question,light,,SEMANTIC
"Determine if agent gave a meaningful plan: try X, if fails then refund path",SEMANTIC_SOLUTION,llm_generated,instruction,medium,,SEMANTIC
Are there internal notes in this convesation?,SYMBOLIC_METADATA,meta_notes,question,heavy,"{""subtype"": ""notes"", ""value"": null}",SYMBOLIC_METADATA
"For tickets capped at 4 turns, assess whether the agent was courteous while requesting security-related information.",HYBRID,llm_generated,instruction,light,,HYBRID
Has the customer filed more than 3 subscription requests before?,UNSUPPORTED,unsupported,question,none,,UNSUPPORTED
Detect quality degradation in conversations exceeding 5 turns.,HYBRID,hybrid,instruction,light,,HYBRID
What satisfaction score was given for this purchase ticket?,UNSUPPORTED,unsupported,question,none,,UNSUPPORTED
Verify the agent mirrored back that the account is locked before escalating.,SEMANTIC_COMPREHENSION,llm_generated,instruction,medium,,SEMANTIC
Check if the agent recognized the customer was stressed due to delay.,SEMANTIC_EMPATHY,llm_generated,instruction,none,,SEMANTIC
Evaluate whether agent’s resolution matched the customer’s question from the breach notification.,SEMANTIC_COMPREHENSION,llm_generated,instruction,none,,SEMANTIC
Are there intetnal notes in this cinversation?,SYMBOLIC_METADATA,meta_notes,question,medium,"{""subtype"": ""notes"", ""value"": null}",SYMBOLIC_METADATA
Was the delay between customer message and agent reply under 12 min?,SYMBOLIC_TIME,time_moderate,question,none,"{""threshold"": 12, ""unit"": ""min""}",SYMBOLIC_TIME
Was the delay between customer message and agent reply under 20 hrs?,SYMBOLIC_TIME,time_moderate,question,none,"{""threshold"": 20, ""unit"": ""hrs""}",SYMBOLIC_TIME
Was the wait time w/in acceptable limits?,SYMBOLIC_TIME,time_implicit,question,light,"{""threshold"": 22, ""unit"": ""seconds""}",SYMBOLIC_TIME
Detect whether agent moved beyond canned outage scripts.,SEMANTIC_SOLUTION,llm_generated,instruction,none,,SEMANTIC
Is this a social media ticket?,SYMBOLIC_METADATA,meta_channel,question,light,"{""subtype"": ""channel"", ""value"": ""social media""}",SYMBOLIC_METADATA
Assess based on the customer's purchase records in third-party system.,UNSUPPORTED,unsupported,instruction,light,,UNSUPPORTED
Did the agent beat the 28 min deadline?,SYMBOLIC_TIME,time_explicit,question,light,"{""threshold"": 28, ""unit"": ""min""}",SYMBOLIC_TIME
Identify if the agent danced around cancellation with promos and never completed it.,SEMANTIC_SOLUTION,llm_generated,instruction,none,,SEMANTIC
Detect whether the follow-up included actionable next steps vs canned lines.,SEMANTIC_SOLUTION,llm_generated,instruction,none,,SEMANTIC
Evaluate based on the customer's past support ticket interactions across 20 tickets.,UNSUPPORTED,unsupported,instruction,none,,UNSUPPORTED
"When the email response time was > 24 hours, evaluate whether the agent’s reply demonstrated accountability and made up for the delay with extra clarity.",HYBRID,llm_generated,instruction,none,,HYBRID
was there a quick turnaround on the response?,SYMBOLIC_TIME,time_implicit,question,medium,"{""threshold"": 7, ""unit"": ""min""}",SYMBOLIC_TIME
Did the agent provide a professional finish even when no immediate fix was available?,SEMANTIC_CLOSING,llm_generated,question,none,,SEMANTIC
Did this customer have unresolved escalation problems in the last 5 tickets?,UNSUPPORTED,unsupported,question,none,,UNSUPPORTED
assess whether the turn count exceeded 30.,SYMBOLIC_COUNT,count_explicit,instruction,medium,"{""threshold"": 30}",SYMBOLIC_COUNT
Was the customer kept waiting beyond 29 hrs?,SYMBOLIC_TIME,time_moderate,question,none,"{""threshold"": 29, ""unit"": ""hrs""}",SYMBOLIC_TIME
Detect whether agent asked for order details early to progress delay case.,SEMANTIC_SOLUTION,llm_generated,instruction,none,,SEMANTIC
Is 'high-priority' applied to this ticket?,SYMBOLIC_METADATA,meta_tag,question,none,"{""subtype"": ""tag"", ""value"": ""high-priority""}",SYMBOLIC_METADATA
Pinpoint interactions exceeding 3 back-and-forths.,SYMBOLIC_COUNT,count_moderate,instruction,none,"{""threshold"": 3}",SYMBOLIC_COUNT
Idemtofy poor eesponse speed.,SYMBOLIC_TIME,time_implicit,instruction,light,"{""threshold"": 3, ""unit"": ""minutes""}",SYMBOLIC_TIME
Did this customer have unresolved escalation problems in the last 50 tickets?,UNSUPPORTED,unsupported,question,light,,UNSUPPORTED
"For outage tickets with internal notes present, evaluate whether the agent’s closing included a specific next step for the customer.",HYBRID,llm_generated,instruction,none,,HYBRID
Is this a repeat subscription complaint from the same customer??,UNSUPPORTED,unsupported,question,medium,,UNSUPPORTED
Did agent close the interaction with a clear recovery checklist for lost password?,SEMANTIC_SOLUTION,llm_generated,question,none,,SEMANTIC
Was the customer's message acknowledged within 300 minutes?,SYMBOLIC_TIME,time_explicit,question,none,"{""threshold"": 300, ""unit"": ""minutes""}",SYMBOLIC_TIME
Is the 'technical' tag present on this ticket?,SYMBOLIC_METADATA,meta_tag,question,none,"{""subtype"": ""tag"", ""value"": ""technical""}",SYMBOLIC_METADATA
Is this customer's contact preferences available from Salesforce?,UNSUPPORTED,unsupported,question,none,,UNSUPPORTED
Note if the response gap was wider than 21 seconds.,SYMBOLIC_TIME,time_moderate,instruction,light,"{""threshold"": 21, ""unit"": ""seconds""}",SYMBOLIC_TIME
Did the reply arrive before the 27 seconds mark?,SYMBOLIC_TIME,time_moderate,question,none,"{""threshold"": 27, ""unit"": ""seconds""}",SYMBOLIC_TIME
"Did the agent address the incorrect charge with specific options (refund/adjustment/escalation) right after greeting, absolutely no hand-waving or canned replies.",SEMANTIC_SOLUTION,llm_generated,instruction,light,,SEMANTIC
What does Stripe show for this customer's subscription tier?,UNSUPPORTED,unsupported,question,none,,UNSUPPORTED
Check uf more than 30 turns occutres.,SYMBOLIC_COUNT,count_explicit,instruction,light,"{""threshold"": 30}",SYMBOLIC_COUNT
Calculate the impact of this conversation on refund over 90 days.,UNSUPPORTED,unsupported,instruction,medium,,UNSUPPORTED
Ensure the 6 minutes target was achieved.,SYMBOLIC_TIME,time_explicit,instruction,medium,"{""threshold"": 6, ""unit"": ""minutes""}",SYMBOLIC_TIME
Did the agent make the customer feel heard while discussing cancel vs downgrade?,SEMANTIC_EMPATHY,llm_generated,question,none,,SEMANTIC
Verify the opening line includes who the agent is and an acknowledgment of the customer’s situation.,SEMANTIC_GREETING,llm_generated,instruction,medium,,SEMANTIC
Were more than 3 back-and-forth exchanges needed?,SYMBOLIC_COUNT,count_explicit,question,light,"{""threshold"": 3}",SYMBOLIC_COUNT
"Check that agent’s initial message recognizes the outage, validates the customer, and states their name/department before any escalation routing.",SEMANTIC_GREETING,llm_generated,instruction,none,,SEMANTIC
Check if a long wait (20+ minutes) was compensated by extra care.,HYBRID,hybrid,instruction,none,,HYBRID
Did the agent use understanding language rather than blame while processing escalation?,SEMANTIC_TONE,llm_generated,question,none,,SEMANTIC
test whether the reply met the 30 hours requirement.,SYMBOLIC_TIME,time_explicit,instruction,heavy,"{""threshold"": 30, ""unit"": ""hours""}",SYMBOLIC_TIME
"Did agent correctly capture what customer wanted, or did they log wrong issue type?",SEMANTIC_COMPREHENSION,llm_generated,question,none,,SEMANTIC
"When the phone call lasted under 4 minutes, evaluate whether the agent still confirmed the return eligibility and avoided sounding rushed.",HYBRID,llm_generated,instruction,light,,HYBRID
Has this been flagged as 'complaint'?,SYMBOLIC_METADATA,meta_tag,question,none,"{""subtype"": ""tag"", ""value"": ""complaint""}",SYMBOLIC_METADATA
Did the agent offer more help before ending interaction?,SEMANTIC_CLOSING,llm_generated,question,none,,SEMANTIC
Verify ticket has 'refund' status.,SYMBOLIC_METADATA,meta_tag,instruction,none,"{""subtype"": ""tag"", ""value"": ""refund""}",SYMBOLIC_METADATA
"In the opening greeting, verify the agent apologized and correctly framed the billing error (e.g., duplicate charge vs wrong plan) exactly as the customer presented it, with no deviation.",SEMANTIC_COMPREHENSION,llm_generated,instruction,none,,SEMANTIC
"If the customer waited more than 30 minutes, did the agent acknowledge the delay?",HYBRID,hybrid,question,none,,HYBRID
Verify ticket has 'spam' status.,SYMBOLIC_METADATA,meta_tag,instruction,light,"{""subtype"": ""tag"", ""value"": ""spam""}",SYMBOLIC_METADATA
Was there a quick turnaround on the response?,SYMBOLIC_TIME,time_implicit,question,none,"{""threshold"": 29, ""unit"": ""min""}",SYMBOLIC_TIME
"For chat tickets where the customer requested an exchange for a different size, assess whether the agent confirmed inventory implications and provided a smooth path forward.",HYBRID,llm_generated,instruction,none,,HYBRID
Did the agent make sure the user understood the breach resolution before finishing the exchange?,SEMANTIC_CLOSING,llm_generated,question,none,,SEMANTIC
